"MTU","Out Area","In Area","Physical Flow (MW)"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Albania (AL)","Greece (GR)","66.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Greece (GR)","Bulgaria (BG)","25.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Greece (GR)","North Macedonia (MK)","224.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Greece (GR)","Turkey (TR)","0.00"
"29/04/2026 00:00:00 - 29/04/2026 01:00:00","Turkey (TR)","Greece (GR)","49.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Albania (AL)","Greece (GR)","74.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Greece (GR)","Bulgaria (BG)","16.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Greece (GR)","North Macedonia (MK)","110.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Greece (GR)","Turkey (TR)","0.00"
"29/04/2026 01:00:00 - 29/04/2026 02:00:00","Turkey (TR)","Greece (GR)","46.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Albania (AL)","Greece (GR)","83.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Greece (GR)","Bulgaria (BG)","17.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Greece (GR)","North Macedonia (MK)","42.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Greece (GR)","Turkey (TR)","0.00"
"29/04/2026 02:00:00 - 29/04/2026 03:00:00","Turkey (TR)","Greece (GR)","60.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Albania (AL)","Greece (GR)","83.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Greece (GR)","Bulgaria (BG)","16.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Greece (GR)","North Macedonia (MK)","1.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Greece (GR)","Turkey (TR)","0.00"
"29/04/2026 03:00:00 - 29/04/2026 04:00:00","Turkey (TR)","Greece (GR)","43.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Greece (GR)","Albania (AL)","0.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Albania (AL)","Greece (GR)","70.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Greece (GR)","Bulgaria (BG)","155.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Bulgaria (BG)","Greece (GR)","0.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Greece (GR)","Italy (IT)","0.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Italy (IT)","Greece (GR)","0.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Greece (GR)","North Macedonia (MK)","212.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","North Macedonia (MK)","Greece (GR)","0.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Greece (GR)","Turkey (TR)","0.00"
"29/04/2026 04:00:00 - 29/04/2026 05:00:00","Turkey (TR)","Greece (GR)","17.00"
