"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","BZN|BG","Without Sequence","104.05","",""
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","BZN|BG","Without Sequence","98.71","",""
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","BZN|BG","Without Sequence","97.98","",""
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","BZN|BG","Without Sequence","91.66","",""
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","BZN|BG","Without Sequence","99.07","",""
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","BZN|BG","Without Sequence","97.24","",""
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","BZN|BG","Without Sequence","93.14","",""
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","BZN|BG","Without Sequence","86.33","",""
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","BZN|BG","Without Sequence","97.50","",""
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","BZN|BG","Without Sequence","89.43","",""
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","BZN|BG","Without Sequence","86.30","",""
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","BZN|BG","Without Sequence","79.00","",""
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","BZN|BG","Without Sequence","82.61","",""
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","BZN|BG","Without Sequence","77.77","",""
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","BZN|BG","Without Sequence","74.94","",""
"01/01/2026 03:45:00 - 01/01/2026 04:00:00","BZN|BG","Without Sequence","76.65","",""
"01/01/2026 04:00:00 - 01/01/2026 04:15:00","BZN|BG","Without Sequence","69.45","",""
"01/01/2026 04:15:00 - 01/01/2026 04:30:00","BZN|BG","Without Sequence","70.32","",""
"01/01/2026 04:30:00 - 01/01/2026 04:45:00","BZN|BG","Without Sequence","74.25","",""
"01/01/2026 04:45:00 - 01/01/2026 05:00:00","BZN|BG","Without Sequence","74.25","",""
"01/01/2026 05:00:00 - 01/01/2026 05:15:00","BZN|BG","Without Sequence","52.34","",""
"01/01/2026 05:15:00 - 01/01/2026 05:30:00","BZN|BG","Without Sequence","73.18","",""
"01/01/2026 05:30:00 - 01/01/2026 05:45:00","BZN|BG","Without Sequence","75.35","",""
"01/01/2026 05:45:00 - 01/01/2026 06:00:00","BZN|BG","Without Sequence","80.21","",""
"01/01/2026 06:00:00 - 01/01/2026 06:15:00","BZN|BG","Without Sequence","75.59","",""
"01/01/2026 06:15:00 - 01/01/2026 06:30:00","BZN|BG","Without Sequence","80.36","",""
"01/01/2026 06:30:00 - 01/01/2026 06:45:00","BZN|BG","Without Sequence","83.01","",""
"01/01/2026 06:45:00 - 01/01/2026 07:00:00","BZN|BG","Without Sequence","85.99","",""
"01/01/2026 07:00:00 - 01/01/2026 07:15:00","BZN|BG","Without Sequence","83.71","",""
"01/01/2026 07:15:00 - 01/01/2026 07:30:00","BZN|BG","Without Sequence","75.27","",""
"01/01/2026 07:30:00 - 01/01/2026 07:45:00","BZN|BG","Without Sequence","61.11","",""
"01/01/2026 07:45:00 - 01/01/2026 08:00:00","BZN|BG","Without Sequence","48.81","",""
"01/01/2026 08:00:00 - 01/01/2026 08:15:00","BZN|BG","Without Sequence","48.15","",""
"01/01/2026 08:15:00 - 01/01/2026 08:30:00","BZN|BG","Without Sequence","43.09","",""
"01/01/2026 08:30:00 - 01/01/2026 08:45:00","BZN|BG","Without Sequence","43.11","",""
"01/01/2026 08:45:00 - 01/01/2026 09:00:00","BZN|BG","Without Sequence","37.41","",""
"01/01/2026 09:00:00 - 01/01/2026 09:15:00","BZN|BG","Without Sequence","51.02","",""
"01/01/2026 09:15:00 - 01/01/2026 09:30:00","BZN|BG","Without Sequence","46.16","",""
"01/01/2026 09:30:00 - 01/01/2026 09:45:00","BZN|BG","Without Sequence","29.95","",""
"01/01/2026 09:45:00 - 01/01/2026 10:00:00","BZN|BG","Without Sequence","10.25","",""
"01/01/2026 10:00:00 - 01/01/2026 10:15:00","BZN|BG","Without Sequence","15.10","",""
"01/01/2026 10:15:00 - 01/01/2026 10:30:00","BZN|BG","Without Sequence","24.85","",""
"01/01/2026 10:30:00 - 01/01/2026 10:45:00","BZN|BG","Without Sequence","22.27","",""
"01/01/2026 10:45:00 - 01/01/2026 11:00:00","BZN|BG","Without Sequence","10.23","",""
"01/01/2026 11:00:00 - 01/01/2026 11:15:00","BZN|BG","Without Sequence","39.44","",""
"01/01/2026 11:15:00 - 01/01/2026 11:30:00","BZN|BG","Without Sequence","21.09","",""
"01/01/2026 11:30:00 - 01/01/2026 11:45:00","BZN|BG","Without Sequence","25.17","",""
"01/01/2026 11:45:00 - 01/01/2026 12:00:00","BZN|BG","Without Sequence","20.28","",""
"01/01/2026 12:00:00 - 01/01/2026 12:15:00","BZN|BG","Without Sequence","22.48","",""
"01/01/2026 12:15:00 - 01/01/2026 12:30:00","BZN|BG","Without Sequence","26.06","",""
"01/01/2026 12:30:00 - 01/01/2026 12:45:00","BZN|BG","Without Sequence","29.66","",""
"01/01/2026 12:45:00 - 01/01/2026 13:00:00","BZN|BG","Without Sequence","34.63","",""
"01/01/2026 13:00:00 - 01/01/2026 13:15:00","BZN|BG","Without Sequence","40.01","",""
"01/01/2026 13:15:00 - 01/01/2026 13:30:00","BZN|BG","Without Sequence","40.00","",""
"01/01/2026 13:30:00 - 01/01/2026 13:45:00","BZN|BG","Without Sequence","31.94","",""
"01/01/2026 13:45:00 - 01/01/2026 14:00:00","BZN|BG","Without Sequence","32.96","",""
"01/01/2026 14:00:00 - 01/01/2026 14:15:00","BZN|BG","Without Sequence","38.99","",""
"01/01/2026 14:15:00 - 01/01/2026 14:30:00","BZN|BG","Without Sequence","54.88","",""
"01/01/2026 14:30:00 - 01/01/2026 14:45:00","BZN|BG","Without Sequence","54.69","",""
"01/01/2026 14:45:00 - 01/01/2026 15:00:00","BZN|BG","Without Sequence","80.27","",""
"01/01/2026 15:00:00 - 01/01/2026 15:15:00","BZN|BG","Without Sequence","55.32","",""
"01/01/2026 15:15:00 - 01/01/2026 15:30:00","BZN|BG","Without Sequence","65.84","",""
"01/01/2026 15:30:00 - 01/01/2026 15:45:00","BZN|BG","Without Sequence","104.05","",""
"01/01/2026 15:45:00 - 01/01/2026 16:00:00","BZN|BG","Without Sequence","132.24","",""
"01/01/2026 16:00:00 - 01/01/2026 16:15:00","BZN|BG","Without Sequence","108.78","",""
"01/01/2026 16:15:00 - 01/01/2026 16:30:00","BZN|BG","Without Sequence","110.89","",""
"01/01/2026 16:30:00 - 01/01/2026 16:45:00","BZN|BG","Without Sequence","123.08","",""
"01/01/2026 16:45:00 - 01/01/2026 17:00:00","BZN|BG","Without Sequence","97.30","",""
"01/01/2026 17:00:00 - 01/01/2026 17:15:00","BZN|BG","Without Sequence","113.43","",""
"01/01/2026 17:15:00 - 01/01/2026 17:30:00","BZN|BG","Without Sequence","123.57","",""
"01/01/2026 17:30:00 - 01/01/2026 17:45:00","BZN|BG","Without Sequence","104.06","",""
"01/01/2026 17:45:00 - 01/01/2026 18:00:00","BZN|BG","Without Sequence","91.42","",""
"01/01/2026 18:00:00 - 01/01/2026 18:15:00","BZN|BG","Without Sequence","115.09","",""
"01/01/2026 18:15:00 - 01/01/2026 18:30:00","BZN|BG","Without Sequence","94.07","",""
"01/01/2026 18:30:00 - 01/01/2026 18:45:00","BZN|BG","Without Sequence","118.71","",""
"01/01/2026 18:45:00 - 01/01/2026 19:00:00","BZN|BG","Without Sequence","104.60","",""
"01/01/2026 19:00:00 - 01/01/2026 19:15:00","BZN|BG","Without Sequence","87.64","",""
"01/01/2026 19:15:00 - 01/01/2026 19:30:00","BZN|BG","Without Sequence","105.64","",""
"01/01/2026 19:30:00 - 01/01/2026 19:45:00","BZN|BG","Without Sequence","120.93","",""
"01/01/2026 19:45:00 - 01/01/2026 20:00:00","BZN|BG","Without Sequence","118.26","",""
"01/01/2026 20:00:00 - 01/01/2026 20:15:00","BZN|BG","Without Sequence","104.06","",""
