"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","BZN|IT-South","Without Sequence","111.42","",""
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","BZN|IT-South","Without Sequence","110.58","",""
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","BZN|IT-South","Without Sequence","110.58","",""
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","BZN|IT-South","Without Sequence","107.42","",""
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","BZN|IT-South","Without Sequence","106.01","",""
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","BZN|IT-South","Without Sequence","106.59","",""
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","BZN|IT-South","Without Sequence","112.82","",""
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","BZN|IT-South","Without Sequence","110.58","",""
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","BZN|IT-South","Without Sequence","110.27","",""
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","BZN|IT-South","Without Sequence","109.75","",""
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","BZN|IT-South","Without Sequence","106.59","",""
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","BZN|IT-South","Without Sequence","106.14","",""
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","BZN|IT-South","Without Sequence","106.59","",""
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","BZN|IT-South","Without Sequence","105.68","",""
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","BZN|IT-South","Without Sequence","103.99","",""
"01/01/2026 03:45:00 - 01/01/2026 04:00:00","BZN|IT-South","Without Sequence","104.14","",""
"01/01/2026 04:00:00 - 01/01/2026 04:15:00","BZN|IT-South","Without Sequence","101.60","",""
"01/01/2026 04:15:00 - 01/01/2026 04:30:00","BZN|IT-South","Without Sequence","98.28","",""
"01/01/2026 04:30:00 - 01/01/2026 04:45:00","BZN|IT-South","Without Sequence","98.87","",""
"01/01/2026 04:45:00 - 01/01/2026 05:00:00","BZN|IT-South","Without Sequence","96.93","",""
"01/01/2026 05:00:00 - 01/01/2026 05:15:00","BZN|IT-South","Without Sequence","94.14","",""
